homepage,ip,address,ip_range,provider,lat,lon
https://dn.archives.gov.ua,185.128.232.229,"03022, UKRAINE, Kyiv, Yurkivska str., 34-A","['185.128.232.0', '185.128.233.255']",GT-DC-CLIENTS,50.392335,30.481684
https://dndekc.mvs.gov.ua,195.114.137.43,"31/33, Smolenskaya st 03005 Kiev Ukraine","['195.114.137.0', '195.114.137.255']",DP-INFOTECH-DATAGROUP,50.449321,30.509663
https://dnipr.kyivcity.gov.ua,104.18.20.41,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
https://dniprorada.gov.ua,104.26.1.103,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
https://dntb.gov.ua,185.156.42.251,"st. Yuriya Popravky, 4/39-A, of. 379 02094 Kyiv UKRAINE","['185.156.40.0', '185.156.43.255']",UA-HOSTPROLAB-20160615,50.454209,30.637312
https://dobromylska-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dobrotvirska-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dovzhanska-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dp.archives.gov.ua,138.201.56.185,Hetzner Online GmbH Industriestrasse 25 D-91710 Gunzenhausen Germany,"['138.201.56.128', '138.201.56.191']",HETZNER-fsn1-dc8,49.124827,10.780514
https://dracs.minjust.gov.ua,193.111.173.246,"13 Horodetskogo Str. 01001, Kyiv, Ukraine","['193.111.173.0', '193.111.173.255']",NAIS,50.450034,30.524136
https://drohobych-rada.gov.ua,104.21.6.69,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
https://druisp.gov.ua,195.234.4.57,"03038, box 21, Kyiv, Ukraine","['195.234.4.0', '195.234.5.255']",HST-1GB,50.426006,30.506851
https://dsa.court.gov.ua,212.90.190.139,"vul. S. Khokhlovyh, 15 Kiev, Ukraine, 04050","['212.90.190.128', '212.90.190.191']",UKRCOM-CUSTOMER-NET,50.46486,30.477626
https://duba-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dubovecka-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dubrivska-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dykanka-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dykanka-osvita.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
https://dzvynyacka-gromada.gov.ua,195.248.234.252,"21029, Ukraine, Vinnitsa Khmelnytske shose str 112-A","['195.248.234.0', '195.248.235.255']",BESTHOSTING-NET,44.9333,34.1
http://semenivka.adm-pl.gov.ua,91.219.220.38,"Solver Ltd 1100-letiya Poltavy, 2 Poltava, Ukraine","['91.219.220.0', '91.219.223.255']",SOLVERNET,49.5897,34.5508
http://senegal.mfa.gov.ua,104.18.15.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
https://en.naqa.gov.ua,94.131.242.94,"03022, UKRAINE, Kyiv, Yurkivska str., 34-A","['94.131.240.0', '94.131.243.255']",GT-GIGACLOUD,50.392335,30.481684
http://serbia.mfa.gov.ua,104.18.14.64,101 Townsend Street San Francisco CA 94107 United States,"['104.16.0.0', '104.31.255.255']",CLOUDFLARENET,37.78023,-122.39047
